date,district,in_hospital
20220505,杨浦,827
20220505,闵行,669
20220505,宝山,500
20220505,嘉定,8
20220505,金山,5
20220505,松江,44
20220505,青浦,47
20220505,奉贤,81
20220505,崇明,175
20220506,浦东,978
20220506,黄浦,1101
20220506,徐汇,1027
20220506,长宁,511
20220506,静安,787
20220506,普陀,456
20220506,虹口,789
20220506,杨浦,723
20220506,闵行,587
20220506,宝山,425
20220506,嘉定,10
20220506,金山,7
20220506,松江,20
20220506,青浦,40
20220506,奉贤,79
20220506,崇明,159
20220507,浦东,892
20220507,黄浦,992
20220507,徐汇,869
20220507,长宁,458
20220507,静安,749
20220507,普陀,446
20220507,虹口,735
20220507,杨浦,621
20220507,闵行,559
20220507,宝山,366
20220507,嘉定,15
20220507,金山,4
20220507,松江,5
20220507,青浦,31
20220507,奉贤,77
20220507,崇明,146
